,0,1,2,3,4,5,6,7,8,9
razao_valor,0.811111111111111,0.8113333333333334,0.8140000000000001,0.8168888888888889,0.8173333333333334,0.8115555555555556,0.8171111111111111,0.8079999999999999,0.8144444444444444,0.8093333333333333
retencao_implicita_pct,0.811111111111111,0.8113333333333334,0.8140000000000001,0.8168888888888889,0.8173333333333334,0.8115555555555556,0.8171111111111111,0.8079999999999999,0.8144444444444444,0.8093333333333333
similaridade_descricao,0.7837777777777778,0.7835555555555556,0.7913333333333333,0.7917777777777778,0.7799999999999999,0.7846666666666667,0.7871111111111112,0.7742222222222223,0.791111111111111,0.7842222222222223
mesmo_municipio,0.7728888888888888,0.7715555555555556,0.7693333333333333,0.7722222222222221,0.7871111111111112,0.7722222222222221,0.774,0.7706666666666667,0.7835555555555556,0.7762222222222221
desvio_prazo_fornecedor,0.77,0.7773333333333333,0.7744444444444444,0.7655555555555557,0.7755555555555556,0.7764444444444445,0.7777777777777778,0.766,0.7648888888888888,0.7626666666666666
delta_dias,0.7431111111111112,0.742,0.75,0.7437777777777779,0.7360000000000001,0.7462222222222222,0.7486666666666667,0.7402222222222222,0.7395555555555555,0.7391111111111112
valor_retido_brl,0.7297777777777777,0.7302222222222222,0.7284444444444444,0.7244444444444444,0.7344444444444443,0.7286666666666667,0.7317777777777777,0.7311111111111112,0.7320000000000001,0.7302222222222222
compat_irrf,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998
compat_csrf,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998
compat_irrf_csrf,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998
compat_inss,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998
compat_combo_iss,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998
compat_iss,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998
acima_limite_csrf,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998
